db,phylip,catg
abvdoceanic,0.05975196522312707,0.06916282098205404
bdpa,0.41875970445545607,0.1549704858282318
birchallchapacuran,0,0.09523809523809523
blustaustronesian,0.31336405529953915,0.36789554531490015
bodtkhobwa,0,0
bowernpny,0.06256703818604928,0.04750607355176725
cals,0.21031404429154793,0.19816258975024015
chaconarawakan,0.3333333333333333,0.38095238095238093
chaconbaniwa,0,0
chaconcolumbian,0.15243235422425755,0.1574459129740904
chacontukanoan,0.6697530864197531,0.7104938271604938
constenlachibchan,0.14243426780428348,0.14243426780428348
davletshinaztecan,0.19298245614035087,0.19298245614035087
deepadungpalaung,0,0
dravlex,0.31311032619987533,0.30459173072927487
dunnaslian,0.09163613618085963,0.08770440532570815
dunnielex,0.032407407407407406,0.018518518518518517
felekesemitic,0.1770862800565771,0.1770862800565771
galuciotupi,0.017035775127768313,0.017035775127768313
gaotb,0.15265980758394723,0.15265980758394723
gerarditupi,0.29708099218857065,0.29708099218857065
houchinese,0.26013513513513514,0.2849099099099099
kesslersignificance,0.6666666666666666,0.5925925925925926
leeainu,0,0
leejaponic,0.3633336493340285,0.38349943119874863
leekoreanic,0.15702479338842976,0.15702479338842976
lieberherrkhobwa,0.20688636027781881,0.20688636027781881
listsamplesize,0,0
liusinitic,0.2833684210526316,0.312
mannburmish,0.18181818181818182,0.18181818181818182
mcelhanonhuon,0.4700944386149003,0.4700944386149003
nagarajakhasian,0.4666666666666667,0.8
peirosaustroasiatic,0.0538380978239789,0.05288436308544596
ratcliffearabic,0.7394789579158316,0.687374749498998
robinsonap,0.2379862700228833,0.2379862700228833
saenkoromance,0.34008127077946065,0.39635864689429523
sagartst,0.02971829994689733,0.028112424104772202
savelyevturkic,0.3682613666344209,0.4200598012487908
sidwellbahnaric,0.08642327438676554,0.03593839132915003
simsrma,0.3471698113207547,0.2188679245283019
starostinpie,0.0507223113964687,0.03723916532905297
syrjaenenuralic,0,0
utoaztecan,0.1490258269143634,0.1760081558676937
walworthpolynesian,0.12365516922934848,0.129796370688461
wichmannmixezoquean,0,0
yanglalo,0.3225806451612903,0.41935483870967744
zhivlovobugrian,0.37142857142857144,0.38476190476190475
